time,inst,cpy cycles,misses,pages,switches,bus,pref
104,7,2,2158,0,0,0,166
104,7,2,2252,0,0,0,150
104,7,2,2269,0,0,0,158
103,7,2,2308,0,0,0,154
103,7,2,2231,0,0,0,156
103,7,2,2237,0,0,0,151
103,7,2,2232,0,0,0,156
103,7,2,2238,0,0,0,143
103,7,2,2266,0,0,0,166
103,7,2,2224,0,0,0,145
103,7,3,3011,0,0,0,159
103,7,2,2218,0,0,0,159
103,7,2,2237,0,0,0,154
103,7,2,2221,0,0,0,148
103,7,2,2269,0,0,0,155
103,7,2,2334,0,0,0,163
103,7,2,2287,0,0,0,166
103,7,2,2210,0,0,0,143
103,7,2,2209,0,0,0,152
103,7,2,2294,0,0,0,162
103,7,2,2261,0,0,0,168
103,7,2,2076,0,0,0,137
103,7,2,2224,0,0,0,141
103,7,2,2221,0,0,0,149
103,7,2,2236,0,0,0,147
103,7,2,2262,0,0,0,161
103,7,2,2223,0,0,0,143
103,7,2,2201,0,0,0,162
103,7,2,2233,0,0,0,154
103,7,2,2239,0,0,0,146
103,7,2,2290,0,0,0,164
103,7,2,2223,0,0,0,149
103,7,2,4301,0,0,0,167
103,7,2,2215,0,0,0,147
103,7,2,2299,0,0,0,166
103,7,2,2276,0,0,0,146
103,7,2,2299,0,0,0,160
103,7,2,2274,0,0,0,144
103,7,2,2142,0,0,0,150
103,7,2,2266,0,0,0,145
103,7,2,2253,0,0,0,137
103,7,2,2252,0,0,0,153
103,7,2,2255,0,0,0,151
103,7,2,2259,0,0,0,154
103,7,2,2263,0,0,0,148
103,7,2,2265,0,0,0,147
103,7,2,2254,0,0,0,149
103,7,2,2328,0,0,0,153
103,7,2,2256,0,0,0,165
103,7,2,2257,0,0,0,163
103,7,2,2239,0,0,0,140
103,7,2,2233,0,0,0,138
103,7,2,2293,0,0,0,163
103,7,2,2113,0,0,0,137
103,7,2,2262,0,0,0,153
103,7,2,2294,0,0,0,155
102,7,2,2233,0,0,0,149
102,7,2,2219,0,0,0,149
102,7,2,2206,0,0,0,145
102,7,2,2281,0,0,0,156
102,7,2,2225,0,0,0,149
102,7,2,2220,0,0,0,141
102,7,2,2188,0,0,0,137
102,7,2,2222,0,0,0,145
102,7,2,2118,0,0,0,144
102,7,2,2226,0,0,0,160
102,7,2,2220,0,0,0,140
102,7,2,2207,0,0,0,149
102,7,2,2203,0,0,0,151
102,7,2,2307,0,0,0,156
102,7,2,2284,0,0,0,151
102,7,2,2264,0,0,0,139
102,7,2,2149,0,0,0,143
102,7,2,2266,0,0,0,143
